Rowid_,VALUE_,COUNT_,FAOSOIL
,2007,50,To2-2bc
,2008,1143,Qc1-1a
,2009,27,Nd5-3bc
,2010,36,Je68-2a
,2011,57,Jt11-3a
,2012,36,Bv10-3ab
,2013,5,To22-3abc
,2014,522,Af61-1/2ab
,2015,47,Bv9-3ab
,2016,8,Tm22-1/2abc
,2017,296,Ge37-2/3a
,2018,171,Tv22-2bc
,2019,28,To21-2/3abc
,2020,114,Tv14-2b
,2021,65,E8-3ab
,2022,16,I-Re-Ne-bc
,2023,6,Ao1-2bc
,2024,26,Re25-2a
,2025,17,X8-2a
,2026,671,Y4-1a
,2027,241,Bk8-2bc
,2028,2,Zo30-2a
,2029,53,I-Tv-Od-1abc
,2030,193,Bc5-3bc
,2031,9,Nd30-3b
,2032,68,Rd24-1a
,2033,21,Lv3-3ab
,2034,18,Je43-2a
,2035,56,Je44-2a
,2036,293,Y5-b
,2037,23,We15-3a
,2038,25,Bc24-2b
,2039,43,Nd36-3bc
,2040,227,E9-3ab
,2041,13,Re30-1b
,2042,47,Vp32-3a
,2043,255,Nd65-3ab
,2044,177,Jc2-2a
,2045,157,Vp64-3a
,2046,40,Tv13-1a
,2047,19,Ne24-3bc
,2048,605,Ao109-2/3c
,2049,77,Bd8-3bc
,2050,16,Jc32-2a
,2051,31,Lv4-3a
,2052,40,Be37-3bc
,2053,153,Lc46-1b
,2054,519,Ao108-2ab
,2055,86,Lc30-3a
,2056,4,Y6-a
,2057,260,Lo68-2/3b
,2058,36,Re28-1a
,2059,20,Ao56-2bc
,2060,8,We15-2a
,2061,18,Gm12-2a
,2062,21,Lo33-3b
,2063,34,Nd33-3c
,2064,36,Ne57-2a
,2065,101,Bk7-2bc
,2066,121,Re59-2b
,2067,27,I-Ne-c
,2068,19,Tv15-2b
,2069,5,Fa7-2b
,2070,87,I-E
,2071,111,Ao52-2b
,2072,255,Gd29-3a
,2073,56,Jc5-2a
,2074,84,Be38-3bc
,2075,104,Yh2
,2076,17,Je40-2a
,2077,10,Tv20-1bc
,2078,273,E2-3b
,2079,52,Tv17-2ab
,2080,18,Tm5-2b
,2081,246,Xh15-a
,2082,95,Je67-2a
,2083,81,Ge18-2a
,2084,22,Rd26-1a
,2085,263,Bg8-2/3a
,2086,148,E6-3bc
,2087,82,Vp65-3a
,2088,15,E4-2a
,2089,33,Je41-2a
,2090,1,Nd33-3b
,2091,21,Re38
,2092,123,Bc4-3bc
,2093,61,Lg30-2a
,2094,26,We17-3a
,2095,189,Re64-2a
,2096,33,Ge19-2a
,2097,26,Gd22-2a
,2098,1780,Xh14-1a
,2099,134,Af59-1/2ab
,2100,61,Lg31-2a
,2101,67,Lf56-2a
,2102,2,Fa5-2b
,2103,1427,Re39-1a
,2104,11,Vc44-3a
,2105,19,Re43
,2106,5,I-Be
,2107,11,I-Hh
,2108,96,Nd49-2bc
,2109,8,Be46-2a
,2110,34,Nd51-2b
,2111,72,Ao52-2ab
,2112,132,Re24-2c
,2113,69,Y12-1a
,2114,81,Vp32-3ab
,2115,15,Lp13-2a
,2116,64,Lc28-3bc
,2117,191,Bd31-2c
,2118,23,Lf57-2a
,2119,46,Re16-b
,2120,1070,Ql11-1a
,2121,136,Bh4-2c
,2122,25,Lo7-2ab
,2123,1757,Ql1-1a
,2124,80,Lf57-2bc
,2125,22,Rd27-1a
,2126,335,Vp42-3a
,2127,49,Bv7-a
,2128,208,Re65-1a
,2129,201,Re38-a
,2130,16,Af19-1a
,2131,3,Ah8-2ab
,2132,58,Jc30-1a
,2133,91,Qc4
,2134,329,Ap21-2b
,2135,154,Ne53-2ab
,2136,91,Xh14-ab
,2137,64,Jc48-2a
,2138,301,I-Re-b
,2139,149,Ne53-2b
,2140,205,Y3-2a
,2141,12,Vp33-3a
,2142,114,Ao44-2bc
,2143,96,Je37-2/3a
,2144,52,Lc26-3ab
,2145,157,I-Re-c
,2146,60,Bk4-1a
,2147,93,Bd25-3c
,2149,457,Ql6-1a
,2150,16,Ao51-2bc
,2151,248,G3-2a
,2152,453,I-Rd
,2153,3,Bh9-2bc
,2154,48,Zg4-3a
,2155,72,Re35
,2156,10,Nd35-2ab
,2157,211,Re35-a
,2158,199,Ql4-1a
,2159,5,I-Xh-2a
,2160,16,Be32-3b
,2161,60,Hh10-2abc
,2162,5,Lo29-3b
,2163,686,I-Bd-c
,2164,52,Ne21-3abc
,2165,31,Bk5-2a
,2166,19,Af20-2ab
,2167,13,I-To-Xh-b
,2168,1417,Vc36-3a
,2169,28,Ws7-1a
,2170,29,Je22-1/2a
,2171,667,Ql6
,2172,29,Lc29-3bc
,2173,114,Re1-1
,2174,19,Re56-1a
,2175,8,Lo6-2/3ab
,2176,20,Vp35-3a
,2177,43,Jc4-2a
,2178,34,Be35-2bc
,2179,20,Lo32-3ab
,2180,46,Ah5-2b
,2181,46,Ao57-2ab
,2182,41,Ge20-2a
,2183,27,Wd3-3a
,2184,97,Qc3-1a
,2185,25,Nd26-3c
,2186,31,Be32-3c
,2187,99,Nd29-3bc
,2188,7,Lg29-3a
,2189,59,Bd28-2bc
,2190,7,Lo15-3ab
,2191,5,Th9-2bc
,2192,213,Lc5-2b
,2193,6,Xk23-1a
,2194,27,Lo36-3bc
,2195,7,Af21-2a
,2196,2,Jt9-2/3a
,2197,5,Je13-1a
,2198,312,Qc15-1a
,2199,26,Zo5-2/3a
,2200,79,Lo30-3bc
,2201,291,Re24
,2202,16,Rd3-1/2b
,2203,81,So8-2/3a
,2204,12,Rd10-1a
,2205,141,Ao52-2bc
,2206,48,Jd4-2a
,2207,174,Qc1
,2208,99,Rd23-1a
,2209,139,Gm13-3a
,2210,123,Re35-1a
,2211,111,Ql10
,2212,186,G1
,2213,77,Lf58-2bc
,2214,40,Je42-2a
,2215,526,Qc13-1a
,2216,114,Ql10-1a
,2217,91,Ql1
,2218,64,Xh19-2a
,2219,129,Ah5-2ab
,2220,61,Bk3-2a
,2221,56,Qc16-1a
,2222,129,Lf18
,2223,124,Ql12-1a
,2224,35,Vc1
,2225,116,Ao53-3bc
,2226,5,Re43-1ab
,2227,23,Bd27-3bc
,2228,38,Vp36-2a
,2229,31,Ao63-3b
,2230,113,Lo37-2bc
,2231,34,Fo102-3ab
,2232,193,Lf40
,2233,15,Bd19-3bc
,2234,9,Vc59-3a
,2235,66,Lo37-3bc
,2236,22,Bv2
,2237,11,Th6-2c
,2238,175,Fr33-3ab
,2239,122,E10-3bc
,2240,511,Lf12-1a
,2241,405,Bh12-3c
,2242,53,Ne20-3b
,2243,25,Th11-2c
,2244,26,Qc60-1a
,2245,80,Vc16-3a
,2246,197,Ne65-3bc
,2247,174,Qc18-1a
,2248,1,Th9-2c
,2249,31,Ao41-2bc
,2250,24,Bk9-3b
,2251,12,Ah10-3bc
,2252,46,Bh13-2/3c
,2253,73,Lo47-1a
,2254,915,I-Re-3a
,2255,27,Ge59-2/3a
,2256,14,I-Ql-Re
,2257,6,Tv28-2ab
,2258,78,Ge5-1a
,2259,85,Ap5-2a
,2260,42,Be32-3bc
,2261,613,Qc7-1a
,2262,71,Xl14-2a
,2263,22,Lg7
,2264,5,Th6-2bc
,2265,3,Vc14-3b
,2266,23,Rd11-2a
,2267,46,Tm6-2bc
,2268,20,Lf26
,2269,584,Qc21-1a
,2270,27,Rd3-1a
,2271,1374,I-Tv-c
,2272,26,Vp24-2a
,2273,47,I-Lf-Vc-1b
,2274,322,Re33-1a
,2275,58,Rc24-2c
,2276,3,G3
,2277,149,Qc2-1bc
,2278,1257,Qc4-1a
,2279,18,Tv29-2ab
,2280,11,I-Bv-Q-a
,2281,28,Ge58-1/2a
,2282,15,Qc17-1a
,2283,24,Be28-1a
,2284,19,Ws5-1a
,2285,16,Tm6-2c
,2286,292,Bd26-2bc
,2287,10,Qc6
,2288,28,Ne25-3bc
,2290,78,Lf40-1a
,2291,8,Xh20-2a
,2292,21,Re32-1a
,2293,251,Be51-2a
,2294,418,Ah9-2bc
,2295,37,Bv5-2a
,2296,20,To4-2bc
,2297,44,To27-2/3bc
,2298,670,Lf1-1a
,2299,246,Re45
,2300,20,Be28
,2301,259,Re59-2c
,2302,19,Ws8
,2303,19,Ws9
,2304,21,Z1-2/3a
,2305,74,Jc28-2/3a
,2306,137,I-Lg-Re
,2307,55,Rc25-3c
,2308,483,Lf41-2a
,2309,34,Ne21-3bc
,2310,6,Vc22-2a
,2311,14,Zg7-1a
,2312,196,Jt14-3a
,2313,35,Ql13-1a
,2314,171,Lf30-1a
,2315,39,I-Bv-c
,2316,416,Re33
,2317,5,To5-2bc
,2318,26,Re54-1a
,2319,30,Ws3
,2320,916,Be9-3c
,2321,37,Ne22-2ab
,2322,3,Xl14-3a
,2323,71,Ql16-1a
,2324,13,Bv1
,2325,35,Lg10
,2326,22,Jt2-1/2a
,2327,20,Fa14-3ab
,2328,3,Lc31-3ab
,2329,33,Re34-1a
,2330,9,Zo6
,2331,20,Ws12-1a
,2332,9,Be27
,2333,5,Vp41-2a
,2334,27,Zo12-2a
,2335,33,Z4-2/3a
,2336,124,Nd28-2a
,2337,48,Re36-1a
,2338,15,Re44-1c
,2339,29,Ne22-2abc
,2340,34,Vc15
,2341,172,Nd48-2/3b
,2342,203,So9-2/3a
,2343,138,Qc5-1c
,2344,50,I-Bc-Tv-2/3bc
,2345,25,Tv23-2bc
,2346,110,I-Rd-So
,2347,32,Bc12-2c
,2348,14,Ql8-1a
,2349,3,Ql3
,2350,70,Ne15-3c
,2351,43,Qc14
,2352,15,Ws2
,2353,35,I-Lf-Qc
,2354,73,Bv11-2a
,2355,98,Re37
,2356,41,Ql23-1a
,2357,23,Ge10-1a
,2358,102,Je33-1/3a
,2359,17,Bc8-2b
,2360,55,Be29-2/3c
,2361,1,Lf36
,2362,9,Ql3-1a
,2363,53,Je21-2/3a
,2364,21,Vc8
,2365,8,Je1
,2366,176,Vp24-3a
,2367,6,Ne24-2bc
,2368,78,Re24-1a
,2369,16,Je36
,2370,12,Ql8
,2371,23,Ql11
,2372,55,Lo47-2a
,2373,52,Bf18-2/3b
,2374,75,Lg8-1a
,2375,202,I-1c
,2376,18,Od7-2a
,2377,95,Ge57-3a
,2378,7,Bv5
,2379,21,Lg9
,2380,19,Af2
,2381,52,Vc9
,2382,51,I-Lg
,2383,6,Lg9-1a
,2384,69,Lf26-1a
,2385,8,Lg1
,2386,90,Lg5-2a
,2387,21,Ne55-2b
,2388,71,Lc13-1a
,2389,38,Be50-2/3c
,2391,12,Bc9-2b
,2393,130,Vc31-2/3a
,2394,7,Lg7-2/3a
,2395,12,Qc12
,2396,24,Ql16
,2397,17,Ql14-1a
,2398,72,Gp2-3a
,2399,10,Be45-2a
,2400,13,I-Lf-Ql
,2401,105,Lf24-1a
,2402,29,Jt2-3a
,2403,8,Je21
,2404,48,Ge1
,2405,67,Qc11
,2406,5,Lg20
,2407,46,Re34
,2408,87,Lf52
,2409,13,Lf36-1a
,2410,127,I-Lf-Ql-ab
,2411,15,G2-3a
,2412,8,We2-1a
,2413,10,Lg21
,2414,98,Ql5
,2415,63,I-Lf
,2416,6,Bv10-3a
,2417,33,Ql22-1a
,2418,177,Ql19-1a
,2419,130,Lf27-1/2a
,2420,67,W2-a
,2421,2,Vc51-3a
,2422,13,Bv2-1bc
,2423,13,Vp8
,2424,292,I-Lc-Re-b
,2425,123,Vc33-3a
,2426,152,Vp26
,2427,38,Je34-1/3a
,2428,9,Bv4-3a
,2429,36,Lg3-2a
,2430,46,Lf34-a
,2431,42,Tv27-2b
,2432,12,I-Af-Lg
,2433,27,Af15
,2434,18,Vc32-3a
,2435,127,Lf18-1a
,2436,8,Ws11-a
,2437,23,Ne22-3ab
,2438,130,Lp5-1a
,2439,123,Re52
,2440,157,Lp4
,2441,30,Re49
,2442,256,Lf65-1/2ab
,2443,24,Ge23-2/3a
,2444,48,Lg1-3a
,2445,16,Be3
,2446,66,Ws10-a
,2447,33,Ql17
,2448,1,Gd26-2a
,2449,11,Bv2-3a
,2450,74,I-Rc-bc
,2451,302,Lf32-1/2ab
,2452,451,Vc35-3a
,2453,26,Be47-2a
,2454,199,Re49-1a
,2455,4,I-Fo-1b
,2456,153,I-ab
,2457,36,Vc9-3a
,2458,67,Je35-2a
,2459,1,Fr22-3b
,2460,198,I-Be-bc
,2461,50,Lf53
,2462,191,Qf1-1a
,2463,3,Xh36-2a
,2464,18,Lg24
,2465,44,Lf37
,2466,313,I-Lf-Ne
,2467,7,Vp25
,2468,335,I-Ag-Fo-2b
,2469,68,Xk2-2a
,2470,187,Lf1
,2471,41,Lp7
,2472,40,Fo40-1/2a
,2473,212,I-Bf-bc
,2474,311,Ne12-3b
,2475,103,Nd3
,2476,31,Ah6-3ab
,2477,7,Ql21
,2478,77,Xk20-2a
,2479,2,Lg7-3a
,2480,45,Re2-1a
,2481,10,I-Vc-Xk-c
,2482,8,Ws6-1a
,2483,28,J3-2a
,2484,3,Vc13-3a
,2485,13,Tm7-2bc
,2486,2,Qa10-1a
,2487,351,Lc6-3a
,2488,60,I-Fh-Fr-2b
,2489,7,Bv6
,2490,65,Xk2-3b
,2491,12,Lg12
,2492,8,Qf17
,2493,76,Lf41-1/2a
,2494,3,Bv3
,2495,10,Bv1-a
,2496,983,Lf26-a
,2497,10,I-Ws
,2498,129,Je30-2/3a
,2499,5,Ws6
,2500,20,Lg5-3a
,2501,34,Lf35
,2502,17,Xl1-3c
,2503,3,Lg27
,2504,28,Je32-1a
,2505,23,Af31
,2506,14,Ge1-2/3a
,2507,28,Gh1-3a
,2508,161,I-Lf-Rd
,2509,209,Vp10-3a
,2510,322,Lf10-1a
,2511,2,Rd31-1/2b
,2512,119,Je48-2a
,2513,48,Ne14-3
,2514,152,Lp6-1a
,2515,2,Ql7
,2516,16,Lc99-2b
,2517,12,Ge24-2a
,2518,40,Lg20-2a
,2519,7,Xh21-2a
,2520,30,Vc12
,2521,9,Vc10
,2522,464,Af2-2a
,2523,3,Bg1
,2524,5,Vp18-2a
,2525,128,Jc6-2a
,2526,84,Je73-3a
,2527,190,Ql11-1b
,2528,4,Qf18
,2529,199,Lf32
,2530,40,Ah11-2c
,2531,222,Nd1
,2532,7,I-Lf-Lp
,2533,28,Re47-2c
,2534,82,Ne18
,2535,41,Zo4-2a
,2536,435,Je31-2/3a
,2537,127,Rc24-1ab
,2538,56,Lp8
,2539,3,Tm7-2b
,2540,45,Lf11
,2541,4,Vc11
,2542,126,Lf49-1a
,2543,7,Vc7-3a
,2544,76,Z6-2a
,2545,166,Vp23-3a
,2546,39,Lg3-1a
,2547,54,Ql18-1b
,2548,5,Zt2-2/3a
,2549,1047,Yy8-2ab
,2550,168,Xk1-3b
,2551,3,Lf45-2ab
,2552,30,I-Nd-c
,2553,39,J2-a
,2554,87,Be4-3b
,2555,31,Je23-a
,2556,90,Lf42-1a
,2557,113,Lf20-1a
,2558,1,Lg11
,2559,8,Be26
,2560,128,Nd22-1a
,2561,8,Lf27
,2562,268,Lo4-3a
,2563,359,Vp1-3a
,2564,8,Rd25-1a
,2565,3,Ws4
,2566,73,Nd5-3a
,2567,61,Re40-bc
,2568,50,Be25
,2569,1,Wd2-2/3a
,2570,31,Lg13
,2571,175,Rc2-2b
,2572,17,Bv8-3a
,2573,231,Lf31-a
,2574,214,Ql24-1a
,2575,22,Hh9-2b
,2576,129,Yk15-2ab
,2577,104,Lp2
,2578,8,I-Lp
,2579,32,Jt5-3a
,2580,12,Je1-2a
,2581,6,Je28
,2582,18,Wh2-2a
,2583,491,Je18-3a
,2584,248,Bh3-3c
,2585,83,Lf39
,2586,13,I-E-Lc-bc
,2587,37,Tv25-2bc
,2588,33,Ao50-3ab
,2589,72,Lg4-1a
,2590,222,Lf13-2a
,2591,27,Lg25-2a
,2592,117,Af5
,2593,83,Zg5-3a
,2594,52,Lc7-3b
,2595,13,Lg8
,2596,9,Qf19-a
,2597,22,Lf38
,2598,12,Qc4-1b
,2599,3,Vc6-a
,2600,114,Lf30
,2601,30,Ap20
,2602,68,Fo20-1ab
,2603,72,Lg34-1/2a
,2604,8,Be1
,2605,46,I-Lf-1b
,2606,117,Lp10-1a
,2607,20,Vp17-3a
,2608,20,Lp9
,2609,55,Lg26-2a
,2610,7,Lf32-1a
,2611,31,Ao13-3c
,2612,22,I-Vp-E-c
,2613,19,Rd7
,2614,7,Je66-2a
,2615,6,G5-a
,2616,76,I-Be-a
,2617,48,Qc10-1c
,2618,41,Be48-3c
,2619,33,Vp12-3a
,2620,338,Ao11-3c
,2621,12,Be31-2a
,2622,103,Ap23-1/2a
,2623,7,Ao22-3a
,2624,5,Vc1-2/3a
,2625,409,Zg1-3a
,2626,174,Vp16-3a
,2627,34,Vp13-a
,2628,1737,Je1-3a
,2629,1068,Vc28-3a
,2630,2,Rc23-2/3c
,2631,35,Lf12-a
,2632,596,Vp15-3a
,2633,19,I-Nd
,2634,408,Ao7-3b
,2635,11,Lg2-1/2a
,2636,14,I-G
,2637,52,Ge22-a
,2638,683,Ne13-3b
,2639,22,Lc5-2ab
,2640,148,Lf41-1/2ab
,2641,58,Be8-3c
,2642,40,Lf28-2/3b
,2643,38,I-Fr-3ab
,2644,82,Vp14-3a
,2645,103,Lf8
,2646,8,I-Lv
,2647,19,Th12-2c
,2648,150,Nd8-1a
,2649,24,Nd27
,2650,229,Fo36-2b
,2651,8,Ne21-2b
,2652,25,Bc13-3a
,2653,53,L3
,2654,181,Lp2-a
,2655,5,Lp5
,2656,143,Ap22-2a
,2657,7,G4-a
,2658,79,Lg28-1a
,2659,104,Bk24-2bc
,2660,121,Lf25
,2661,192,Ge9-3a
,2662,202,Je29-1a
,2663,12,Ne23-3ab
,2664,28,Af12-2b
,2665,6,Ge16
,2666,313,Ao3-1a
,2667,18,Kl8-3b
,2668,18,Vc30-3a
,2669,882,Rd18-3ab
,2670,11,Kl4-3b
,2671,25,Be42-2/3b
,2672,74,Af30
,2673,16,Vp7-3a
,2674,2,Re42-1c
,2675,21,Nd47-2b
,2676,4,Ne21-b
,2677,6,Ao52-3bc
,2678,27,Ao49-ac
,2679,32,I-Fo-Fx
,2680,10,Yh16-2c
,2681,10,Re40-1b
,2682,45,Lp3-a
,2683,37,Vp11
,2684,33,Lg33-1/2a
,2685,27,Lf48-1a
,2686,4,Ne32-2ab
,2687,9,Vc20
,2688,126,Fo39-2b
,2689,12,Lc32-3bc
,2690,87,Ap10-2a
,2691,124,Lf32-a
,2692,36,Qf1
,2693,268,Ao10-3b
,2694,70,Ao60
,2695,253,Gm15-2a
,2696,257,Gd10-3a
,2697,64,Ah7-3c
,2698,128,I-Lf-Re-1b
,2699,2,Bc23-2a
,2700,14,Zg14-2a
,2701,8,Re66-1a
,2702,79,Od21-a
,2703,57,Af29-1/2a
,2704,27,Ao43-1b
,2705,62,Yh16-2/3c
,2706,63,Vc26-3a
,2707,196,Lp6
,2708,244,Gm4-3a
,2709,181,J2-1/2a
,2710,178,Rd12-2bc
,2711,251,Nd11
,2712,19,Xh15-2a
,2713,492,Rc23-1/2ab
,2714,49,Lf12-b
,2715,34,Lc36-2ab
,2716,11,I-Fo-c
,2717,1,Jc47-2a
,2718,4,Vc25-3a
,2719,37,Bd30-2/3c
,2720,18,Vc27-3a
,2721,61,I-Ao-2bc
,2722,13,Bd21-3bc
,2723,27,Nd32-3c
,2724,154,Ao12-3a
,2725,43,Lg35-1a
,2726,2,Od13-a
,2727,37,Fo38-2a
,2728,23,Fr21-2a
,2729,263,Af17-1/2ab
,2730,3,Jc46-2a
,2731,5,Vp19-3a
,2732,6,Bh11-1b
,2733,27,Je45-2a
,2734,1227,Qc10-1a
,2735,268,Ne10-3b
,2736,650,Gd11-3a
,2737,104,Lg15-1/2a
,2738,21,Fp3-2c
,2739,26,Fx11-1b
,2740,62,I-Fp-ac
,2741,116,Lc71-2b
,2742,300,Ao24-3b
,2743,20,Lf27-1/2b
,2744,21,Bf2-3a
,2745,16,Lc36-3bc
,2746,97,Ao48-1a
,2747,98,I-Lf-bc
,2748,23,Bh4-3b
,2749,42,Lf32-1/2a
,2750,179,Rc2-3c
,2751,28,Jt4-2a
,2752,75,Gm2-3a
,2753,1543,Fp8-2ab
,2754,88,Fo37-2b
,2755,113,Rc18-3b
,2756,622,Xh15-3a
,2757,261,Ao8-3b
,2758,2,Af22-2a
,2759,43,Nd30-3bc
,2760,214,Ao1-3b
,2761,11,Vp9-a
,2762,88,Rc18-2b
,2763,97,Lf43-1a
,2764,10,Af28
,2765,10,Nd26-3bc
,2766,129,Lf1-1/2a
,2767,94,Lc72-2a
,2768,225,Lg36-1a
,2769,10,Je64-2/3a
,2770,30,Ag5-3ab
,2771,277,Nd5-2b
,2772,44,Ao46-a
,2773,13,Th9-1c
,2774,12,Bd9-2b
,2775,79,I-Nd-Rd-1bc
,2776,249,Vc29-3a
,2777,477,Fo25-3b
,2778,168,Lf1-2a
,2779,106,Lf8-a
,2780,40,Lf63-2a
,2781,21,Lf55-a
,2782,9,Lf50
,2783,383,Qf4-1a
,2784,10,Lc32-3a
,2785,2,Nh3-ab
,2786,70,Ao10-a
,2787,6,Tv24-2bc
,2788,11,Fp5-2a
,2789,1,Ne1-a
,2790,3,Be7-1b
,2791,204,Fo46-3bc
,2792,4,Ao10
,2793,176,Be49-3c
,2794,34,I-Ao
,2795,8,Tv23-2ab
,2796,20,Be42-2/3a
,2797,165,Ne12-2c
,2798,16,Bf5-2/3ab
,2799,16,Lo45-1a
,2800,9,Je65-2/3a
,2801,24,Af18-1a
,2802,873,Nd1-3b
,2803,29,Xh16-a
,2804,23,Nd31-3ab
,2805,44,I-Rd-c
,2806,34,Lf64
,2807,14,Fo27-3a
,2808,54,Lf61-2a
,2809,2,Rd6-a
,2810,9,Nd12-2b
,2811,38,Rc20-3a
,2812,30,Fp4-2b
,2813,167,Af28-a
,2814,26,I-Lf-Re
,2815,523,Je7-3a
,2816,70,O4-a
,2817,7,Lf15-ab
,2818,164,Fo24-2b
,2819,22,Nd7
,2820,770,Fo17-2b
,2821,72,Lg23-a
,2822,4,Lf10-a
,2823,36,Fo8-2ab
,2824,5,Be42
,2825,12,Fh6-2b
,2826,78,Ap18-2a
,2827,457,Yh21-2ab
,2828,60,I-Fo-2bc
,2829,238,Ao7-3a
,2830,598,Rc20-ab
,2831,18,Lf27-a
,2832,96,Af12-1/2a
,2833,2,I-Lg-2b
,2834,5,Lf64-1a
,2835,54,Lf49
,2836,352,I-Fo-Nd-bc
,2837,71,Lf60-2b
,2838,111,Fo32-1a
,2839,54,Bf7-2b
,2840,87,Lf30-2a
,2841,15,Qc50-1a
,2842,7,Ao10-1a
,2843,61,Rc21-2c
,2844,138,Bd10-3c
,2845,30,Ne19-2a
,2846,53,Lf54-1a
,2847,112,Bh3-3b
,2848,10,L2
,2849,46,Lf61-3a
,2850,2,Rd2-2c
,2851,1,Jd5-2/3a
,2852,11,Ne21-3b
,2853,7,Nd14-1a
,2854,79,Xh17-2a
,2855,32,I-Fx-1ab
,2856,42,Af13-1a
,2857,375,Rc19-bc
,2858,81,Lf7-a
,2859,66,Fp9-3a
,2860,853,Fp7-2ab
,2861,9,Ao7-a
,2862,60,Nd3-3b
,2863,58,Nd5-1a
,2864,23,Fh7-3b
,2865,154,Nd16-2/3a
,2866,38,Lc73-2bc
,2867,92,Ge7-3a
,2868,12,Af4-a
,2869,10,I-Lc
,2870,150,Ao59-a
,2871,6,Lo46-1a
,2872,57,Jc21-3a
,2873,151,Fo45-2b
,2874,11,Rd8-1b
,2875,12,Af45-2b
,2876,77,Fr6-2/3a
,2877,7,I-Nh-Rd-b
,2878,85,Fo14
,2879,13,Bf12-3bc
,2880,7,J4-1
,2881,21,Ne6-2b
,2882,39,Ap15-1a
,2883,154,Bd9-3c
,2884,75,Ao73-2bc
,2885,29,Bf5-ab
,2886,22,Lf62-3a
,2887,52,Je20-3a
,2888,108,Fo17-3c
,2889,83,Ao7
,2890,172,G2-2/3a
,2891,291,Af5-1/2a
,2892,308,I-Lf-c
,2893,6,Nh3-ac
,2894,67,Nd9
,2895,77,Af1
,2896,389,Ap11-2a
,2897,854,Fo14-3c
,2898,17,Af27
,2899,7,Bf4
,2900,52,Nh3
,2901,66,Fp6-2b
,2902,70,Nd15-1a
,2903,87,Af31-2b
,2904,24,Ap19-2b
,2905,4,Fh1-3b
,2906,49,Ap16-2a
,2907,4,Bf5-b
,2908,35,Lc74-2b
,2909,483,Ao106-2/3b
,2910,166,Lc6-3b
,2911,53,Jt12-3a
,2912,36,Ne1-ab
,2913,72,Ao59-1a
,2914,2692,Ao104-2/3c
,2915,19,Ao30-a
,2916,4,Af27-1ab
,2917,18,Nd15
,2918,78,Kl7-3b
,2919,71,Bd7-3b
,2920,104,Nd6-3ab
,2921,26,Vp8-2/3a
,2922,4,Lf13
,2923,21,Ge2
,2924,133,Af24-2a
,2925,222,Ao1-ab
,2926,39,Af14-3c
,2927,115,Fo14-2a
,2928,243,Fx12-2ab
,2929,35,Fo1
,2930,153,Qa4-1a
,2931,2,Ne21
,2932,76,To6-2bc
,2933,3,Jd1-a
,2934,7,Be30
,2935,31,Af25-1a
,2936,20,Ap17-2a
,2937,217,Ap12-3a
,2938,159,Re59-a
,2939,44,Jd3-2a
,2940,19,Nd20-1a
,2941,24,I-Rd-bc
,2942,875,I-To-c
,2943,15,Bf3
,2944,8,Ne1
,2945,67,Nd17-1a
,2946,15,Nd9-1a
,2947,514,I-Fh-Ne-To-c
,2948,5,Ne19-1a
,2949,13,Ao29-b
,2950,39,Rd8-1a
,2951,85,Fo9-bc
,2952,37,Rd17-1a
,2953,6,Af26-a
,2954,1,Bf4-2b
,2955,247,Th4-a
,2956,5,Nd10-b
,2957,1023,Fo2-2ab
,2958,20,Ao13
,2959,7,J2
,2960,209,Yh18-2c
,2961,14,Nd18
,2962,396,Fx7-2a
,2963,4,Ws4-1a
,2964,60,Gd28-3a
,2965,46,Fh1-ab
,2966,74,Af23-2a
,2967,9,Ah4-2b
,2968,117,I-Zo
,2969,14,Ws2-1a
,2970,5,Tv12-b
,2971,65,Nd21
,2972,22,Fo21-2ab
,2973,84,Ne17
,2974,656,Qf21-1a
,2975,379,Jd13-3a
,2976,4,Ao39-2b
,2977,883,Fo1-ab
,2978,828,Fo1-3a
,2979,1,Nd1-2b
,2980,2,Tv11-ab
,2981,7,Rd16-1a
,2982,9,I-Bd-Nd-b
,2983,196,Ap9-3a
,2984,247,Od20-a
,2985,7,Ao13-a
,2986,5,Ao11-b
,2987,158,Yh17-2c
,2988,16,Gd5-2a
,2989,66,Lo67-2/3c
,2990,31,Nd18-1a
,2991,69,Lg6-2/3a
,2992,176,Nd6-3a
,2993,1065,Fx7-3a
,2994,102,Ao7-ab
,2995,5,Vc4
,2996,36,Nd10-3b
,2997,10,Rd17-2b
,2998,38,Nd8
,2999,11,G1-3a
,3000,1203,Fo6-3b
,3001,27,Ne26-2/3b
,3002,2,G6-a
,3003,52,Ao45-2a
,3004,70,Qf2-1a
,3005,86,Ap13-3a
,3006,205,Ne5-3c
,3007,75,Jt4-a
,3008,4,Bf6
,3009,275,Qc22-1b
,3010,609,Ao82-2/3b
,3011,64,Bf3-2b
,3012,1,Gh4
,3013,758,Fo1-2a
,3014,11,Fo41
,3015,31,Ge6-3a
,3016,10,Nd4-3c
,3017,22,Af1-1/2a
,3018,34,Nd21-1a
,3019,160,Fr2-2/3b
,3020,34,Ge8-3a
,3021,60,Re48-2a
,3022,37,Ne16-a
,3023,573,Yh19-2a
,3024,16,Re10-1a
,3025,3,Fp2-a
,3026,23,Gd16-2/3a
,3027,143,Vc34-3a
,3028,51,Ne3-b
,3029,2,Ws3-1a
,3030,177,Fo16-2a
,3031,3,Nd19-1a
,3032,5,Vc5-3a
,3033,5,Tm3
,3034,33,Fx7-3b
