Rowid_,VALUE_,COUNT_,FAOSOIL
,379,1071,I-Dd-Ph-2c
,380,83,Mo5-2a
,381,139,Gm8-2a
,382,1319,I-Bd-Dd-Ph-2c
,383,35,Ge68-1/2a
,384,50,Lo81-1a
,385,47,Po2-2a
,386,498,Cl7-2a
,387,17,Sm11-3a
,388,278,Je80-2a
,389,65,La18-3a
,390,72,Oe2-2a
,391,420,I-U-c
,392,56,Cl2-3a
,393,32,Dd8-1ab
,394,727,Kh1-1ab
,395,223,Bg5-2ab
,396,165,Ck5-3a
,397,61,Oe13-a
,398,877,Jc49-1/3a
,399,20,Dd7-1ab
,400,1533,Bd67-2b
,401,62,Cl7-2b
,402,96,Sm11-2a
,403,56,Ck4-3a
,404,263,Ck1-2a
,405,124,Ck6-3a
,406,177,Dd6-1/2a
,407,45,Gm30-2/3a
,408,26551,D/SS
,409,47,Ck3-3a
,410,2243,Gm20-2/3a
,411,93,Qc63-1a
,412,310,Lo75-2ab
,413,34,Mo2-3/2a
,414,152,Ch1-2a
,415,136,De13-1ab
,416,34,Lo82-1a
,417,62,Jc1-1/2a
,418,135,Ph16-1a
,419,38,Cl5-2a
,420,203,Bd3-2ab
,421,14,Oe15-a
,422,10,La26-1a
,423,73,Lc109-2a
,424,13,La2-1a
,425,159,Bd76-2ab
,426,173,Rd1-1a
,427,1250,Ch10-2a
,428,181,Mg2-2a
,429,164,Ch13-2b
,430,66,Od6-a
,431,221,Ck2-2a
,432,269,I-La-3b
,433,62,Mo6-2/3a
,434,143,Ch13-2a
,435,70,Gd33-3b
,436,1391,Kh25-2a
,437,2064,Kh31-2a
,438,28,Gm29-2/3a
,439,11,La25-3a
,440,134,Ch1-2b
,441,251,Lg15-2ab
,442,51,Mg4-3a
,443,2373,Kl17-2a
,444,14,Kh1-1b
,445,40,Ch4-2b
,446,22,Hg9-2/3a
,447,227,Kh33-2a
,448,93,La16-3b
,449,21,La9-3a
,450,51,Ge64-1/2a
,451,1042,Kl17-2b
,452,19,Kh1-1/2a
,453,1624,Lg1-2b
,454,1134,Kh1-1a
,455,981,Re1-1b
,456,26,Lo79-2a
,457,281,Ck3-2a
,458,156,Je13-2a
,459,827,Kh27-2a
,460,411,Kh15-2a
,461,325,Kh15-2b
,462,166,Cl1-2b
,463,14,Od25-a
,464,297,C3-3a
,465,98,Je86-2/3a
,466,512,Sm10-2a
,467,149,Ph19-1ab
,468,95,Bg11-3ab
,469,36,Lg1-2ab
,470,1807,Kl4-2a
,471,2087,Kh1-2a
,472,4045,I-Lo-2c
,473,229,Mo7-2a
,474,143,Lo74-2a
,475,78,Mo9-2a
,476,7,Be140-2a
,477,11,Re18-1a
,478,133,Ch23-2a
,479,75,Mo3-2a
,480,157,Kh1-3a
,481,577,So16-2a
,482,171,Be125-2b
,483,5182,I-Be-2c
,484,7761,I-K-2c
,485,1073,Kh1-2ab
,486,83,Lo86-1/2a
,487,10,Kl17-3a
,488,26,Re16-1/2a
,489,47,So32-2/3a
,490,16,Kh8-2a
,491,110,I-R-B-1c
,492,106,Po12-2a
,493,62,La2-2/3b
,494,85,De14-1ab
,495,83,Ge66-2/3a
,496,19,Re31-2a
,497,4495,I-Bh-U-2c
,498,346,I-Po-1b
,499,21,Ch8-2a
,500,379,I-Po-1c
,501,250,Ge15-3a
,502,300,Kh34-2a
,503,29,Kl6-3a
,504,87,Gm19-3a
,505,509,Kh26-2a
,506,111,Kh12-2b
,507,73,Cg3-3a
,508,203,Gm18-3a
,509,480,Od9-1/2/3a
,510,185,E1-2a
,511,381,Cg4-3a
,512,58,Bd13-2c
,513,388,La1-3a
,514,103,Ge12-2a
,515,263,Bd2-2c
,516,449,Kk18-2a
,517,28,Ch9-2a
,518,390,Bd69-2b
,519,9,Ph18-1ab
,520,30,Ph17-1a
,521,108,Mo5-2b
,522,65,Dd9-2ab
,523,22,Bg6-2a
,524,561,Bd72-2b
,525,2055,I-Bh-U-c
,526,49,Ck1-2ab
,527,67,Ck1-3ab
,528,214,Od8-3a
,529,293,Be123-2b
,530,1436,Bd66-1/2bc
,531,358,Po13-2c
,532,362,So30-2/3a
,533,99,Kl41-1a
,534,158,Ch11-3a
,535,367,Gm14-2/3a
,536,149,C4-3a
,537,186,So31-2/3a
,538,335,E25-2/3ab
,539,848,Kl4-2b
,540,2500,Re1-1a
,541,8,Lg46-2ab
,542,219,Kh25-1/2a
,543,29,Lo84-2b
,544,41,Ch10-2b
,545,940,Kh24-2b
,546,14,Ch12-3a
,547,807,Be120-2bc
,548,1188,Xl16-2b
,549,4,Lc110-2a
,550,68,Kh12-3a
,551,241,Bd78-2b
,552,606,Kl45-2a
,553,53,Sg5-2a
,554,731,So16-3a
,555,133,Lo92-2b
,556,60,Bd15-2a
,557,416,Jc1-2a
,558,70,I-C-3c
,559,673,Kl37-3a
,560,87,Lo80-2b
,561,524,La23-1/3a
,562,289,Kl11-1a
,563,11,Ch12-2a
,564,28,Mo8-3a
,565,48,Ge10-3a
,566,99,Hh24-2/3a
,567,130,Ch6-2a
,568,17,Hh23-3a
,569,127,Kl11-2a
,570,39,Kh8-1b
,571,81,Po10-2c
,572,391,So1-3a
,573,447,Kl36-1/2a
,574,21,Pl6-1ab
,575,118,Bd2-2b
,576,140,Ch21-2ab
,577,18,Zo3-2a
,578,101,Hg7-3a
,579,469,Ch2-1a
,580,149,Po11-1b
,581,12,Hh26-2ab
,582,928,La12-2c
,583,351,Kl40-1a
,584,16,Gm9-3a
,585,29,Kh1-2/3a
,586,123,Bv18-3a
,587,29,Ge10-2a
,588,95,Kl18-2ab
,589,25,Qc61-1a
,590,135,Ge11-3b
,591,628,Tv7-2c
,592,26,Kl4-1a
,593,41,Bd70-2a
,594,1081,Tv9-2c
,595,24,Rd4-1a
,596,553,Po13-2b
,597,243,Kl11-2ab
,598,49,Oe8-a
,599,61,Kh10-2ab
,600,137,Kl4-1ab
,601,631,Z1-2a
,602,15,Kh25-2b
,603,115,Lg40-2ab
,604,120,Bd3-2a
,605,14,La9-2a
,606,34,Sg3-3a
,607,75,Lg45-2/3b
,608,47,Kl6-2a
,609,351,Bd71-1/2b
,610,52,Bd2-2a
,611,129,Kl11-2b
,612,511,Ch19-3a
,613,118,Po11-2c
,614,13,So3-3a
,615,62,Kl26-2a
,616,10,Ql28-1b
,617,41,Lg48-2/3a
,618,40,Bd16-1/2a
,619,338,Cl1-2a
,620,257,Kh8-2b
,621,740,Po13-2a
,622,29,Kl11-1ab
,623,408,Po13-1/2a
,624,193,Tv8-2c
,625,773,Lg51-2/3a
,626,27,Po1-1/2a
,627,45,Bd17-2a
,628,53,Gh5-2a
,629,51,Lg53-2ab
,630,49,Mo4-2b
,631,26,Be14-2b
,632,429,Bc48-3ab
,633,23,Bd18-2b
,634,186,Lo72-2b
,635,180,Hh20-2/3a
,636,218,Gm6-3a
,637,442,Kl29-2a
,638,19,Sg4-2a
,639,631,Z1-3a
,640,1088,Hh21-2/3a
,641,105,Kl4-2ab
,642,91,Be121-2bc
,643,78,Be142-2/3ab
,644,57,Be141-2/3b
,645,17,Be2-2c
,646,72,Oe5-3a
,647,112,Kl4-1/2ab
,648,307,Je78-2a
,649,743,I-K-c
,650,429,I-U-1/2c
,651,610,Kl43-1a
,652,6,Gm7-2a
,653,184,Po10-1a
,654,771,E23-2bc
,655,106,So19-2a
,656,719,Zm2-2/3a
,657,480,Kl36-3a
,658,26,Xl21-1ab
,659,191,Po1-2b
,660,3463,Xl20-2b
,661,297,Xh2-2a
,662,118,Xh2-1a
,663,109,Xl16-1ab
,664,609,Xl17-2a
,665,31,Kl29-2b
,666,30,La10-3a
,667,103,Kl42-2b
,668,627,Xl18-2ab
,669,9,Ph14-1/2c
,670,336,Xl16-2a
,671,259,Kh13-2b
,672,99,Be10-2c
,673,187,Bh6-2ab
,674,245,O5-1a
,675,126,Ge14-2/3a
,676,4609,Kl39-2b
,677,458,S2-3a
,678,18,So3-2/3a
,679,49,Bd12-2/3a
,680,25,Kl38-1ab
,681,276,Xl1-1ab
,682,15,K1-2a
,683,176,Bd79-2ab
,684,53,Lc102-3b
,685,123,Zo7-2a
,686,326,Po28-1bc
,687,30,Ck11-2ab
,688,20,Kl39-1a
,689,95,Lo90-2ab
,690,344,La12-2/3a
,691,53,Ge46-2a
,692,270,Kh16-2a
,693,206,Bd80-1/2b
,694,8,Be13-3b
,695,227,So16-2/3a
,696,93,Xl22-1/2a
,697,131,Lo76-2/3b
,698,54,De4-2a
,699,31,Gh23-3a
,700,16,Kl36-2a
,701,52,Bg9-2b
,702,320,Rc6-2bc
,703,510,Po1-1b
,704,229,We20-3a
,705,20,Kh32-2a
,706,271,Bh5-2ac
,707,59,So3-2a
,708,47,Hc2-2a
,709,943,Yh11-2b
,710,103,We21-2ab
,711,49,Ql27-1ab
,712,30,Lg44-2/3ab
,713,36,Je74-2/3a
,714,972,Be122-2bc
,715,137,Hh25-1/3ab
,716,243,Jc57-1/2a
,717,37,Hg8-3a
,718,345,Re19-2c
,719,79,Hc3-2a
