Latitude,Longitude,MAT,MAP
-15.25,-71.25,1.87,686.68
-33.25,23.25,15.69,297.3
44.75,-82.25,6.3,849.43
44.75,82.25,8.8,176.72
-79.25,152.25,-31.72,205.66
-85.25,-102.25,-37.09,30.3
-85.25,102.25,-51.51,21.59
-77.25,-6.25,-32.08,388.61
-77.25,6.25,-33.14,274.26
77.75,-34.25,-25.52,155
-77.75,-34.25,-17.45,398.26
-77.75,34.25,-54.76,58.98
68.75,-151.25,-10.29,170
68.75,151.25,-12.99,197.49
-68.75,151.25,-16.3,605.59
-80.75,-110.75,-28.79,84.79
-80.75,110.75,-53.38,28.12
3.25,-55.75,26.25,2353.66
-3.25,-55.75,27.26,2031.34
72.75,-97.75,-13.9,238.04
71.75,-45.75,-23.3,226.12
-71.75,45.75,-35.73,716.66
72.75,97.75,-13.47,282.01
-72.75,97.75,-43.85,276.83
-17.75,127.25,26.4,594.76
-74.75,-65.75,-27.32,441.18
-74.75,65.75,-27.42,134.71
43.25,143.25,5.34,908.37
52.75,132.25,-5.2,652.61
39.25,49.75,15.03,495.6
76.75,-86.75,-18.89,189.33
-76.75,-86.75,-22.78,221.33
-76.75,86.75,-50.02,52.8
-10.25,32.25,20.49,1111.46
60.25,79.75,-2.31,519.16
57.75,103.25,-3.84,394.96
48.75,33.75,8.12,504.51
-73.75,140.75,-43.05,418.74
-89.75,-119.25,-49.02,7.26
-89.75,119.25,-49.4,7
-79.25,-149.75,-24.62,310.96
-79.25,149.75,-32.72,199.26
40.25,33.25,8.29,429.39
43.25,-120.75,6.38,270.88
43.25,120.75,6.45,451.52
-78.75,-126.25,-27.49,147.41
-78.75,126.25,-49.99,40.58
-22.25,119.75,25.1,329.74
59.75,142.75,-4.59,489.43
82.25,-43.75,-18.53,139.36
-82.25,43.75,-54.61,24.32
78.25,-47.75,-29.86,108.42
-78.25,-47.75,-22.31,220.67
-78.25,47.75,-55.38,52.18
-21.75,120.75,25.99,359.56
45.25,-104.75,6.17,392.17
45.25,104.75,2.2,107.35
-83.75,-92.25,-32.47,56.89
-83.75,92.25,-53.3,19.9
60.75,64.75,-0.47,473.49
34.25,-3.25,18.35,226.44
34.25,3.25,15.86,277.71
48.75,47.25,8.48,248.56
49.75,-74.25,-0.46,978.25
49.75,74.25,2.44,305.46
-25.25,122.75,22.5,226.44
-84.25,-31.75,-35.23,142.26
-84.25,31.75,-50.34,22.32
-75.25,-118.75,-20.9,520.65
-75.25,118.75,-51.15,83.74
71.75,141.25,-13.84,145.19
-71.75,141.25,-36.1,591.56
-34.25,144.25,17.2,333.18
68.75,-157.25,-9.88,157.56
68.75,157.25,-12.59,208.74
17.25,-94.25,25.77,1444.5
51.25,138.75,-0.23,557.57
56.75,-90.25,-6.5,368.95
56.75,90.25,0.12,465.66
-83.25,-46.75,-27.26,187.67
-83.25,46.75,-53.93,21.01
4.75,35.75,29.3,490.49
-4.75,35.75,20.38,752.31
-82.25,-134.25,-23.23,98.26
-82.25,134.25,-42.8,84.74
-19.25,-48.75,22.21,1446.14
19.25,48.75,29.61,99.74
-19.25,48.75,22.28,2401.36
18.25,-66.25,24.67,1691.48
-18.25,-66.25,10.71,539.77
14.75,24.75,24.22,250.9
-14.75,24.75,20.59,923.55
40.25,52.75,14.48,127.09
74.75,-42.75,-26.12,217.09
-74.75,42.75,-45.3,221.09
42.25,126.75,3.51,806.34
3.75,-73.25,26.56,3004.71
-3.75,-73.25,26.06,2909.11
10.75,17.75,28.5,788.82
-10.75,17.75,21.4,1335.77
64.25,12.25,4.61,1083.38
-84.75,-114.75,-32,37.21
49.25,34.25,8.25,537.04
-84.75,114.75,-50.72,29.63
-81.75,-4.25,-34.73,196.5
-81.75,4.25,-41.43,103.01
38.75,-103.75,8.89,309.89
6.25,19.75,24.93,1369.98
-6.25,19.75,24.22,1537.61
38.75,103.75,8.2,135.18
-84.75,-170.75,-28.07,169.69
71.25,-106.75,-11.11,241.12
71.25,106.75,-15.16,235.21
-71.25,106.75,-35.36,384.55
-72.25,149.25,-31.69,556.68
19.25,81.25,24.15,1446.19
55.25,30.25,5.53,672.69
72.25,-28.25,-17.66,327.63
-72.25,28.25,-27.13,384.48
-8.75,117.25,23.58,1293.78
67.75,60.25,-5.07,451
-67.75,60.25,-16.53,420.29
47.25,8.75,9.66,1385.05
40.75,39.25,7,811.46
-79.75,154.75,-31.45,217.72
59.25,51.25,1.19,605.56
43.75,113.25,3.62,173.39
64.75,168.25,-12.04,359.6
50.75,-119.75,8.14,454.56
6.25,-69.25,27.31,1848.16
-6.25,-69.25,25.89,2421.97
50.75,119.75,-3.05,373.62
18.75,-96.75,23.77,2333.99
-85.25,-13.25,-42.04,73.64
-85.25,13.25,-46.66,30.28
18.75,96.75,23.11,2378.16
-1.75,132.75,27.12,2528.96
71.25,-81.75,-14.4,207.92
65.25,-71.75,-9.24,390.76
80.75,-70.25,-27.63,111.9
-80.75,70.25,-56.3,25.88
65.25,71.75,-5.78,490.73
-86.25,-31.75,-42.02,53.86
-86.25,31.75,-49.93,14.84
81.25,-13.75,-15.21,159.1
-81.25,-13.75,-31.02,302.29
-81.25,13.75,-48.34,62.76
69.75,-84.75,-14.05,231.27
-15.75,-60.25,25.72,1231.9
69.75,84.75,-9.75,300.65
-69.75,84.75,-26.66,340.53
38.75,35.75,6.85,403.6
54.25,-7.75,8.8,1332.52
-24.75,151.25,19.95,792.32
-84.75,-151.25,-23.1,122.79
-84.75,151.25,-43.02,106.25
-21.25,-67.75,5.57,79.99
-5.75,-42.75,26.52,1378.5
5.75,42.75,27.27,295.67
43.25,-80.75,7.25,933.46
43.25,80.75,-1.87,416.45
-6.75,138.75,27.02,2300.49
2.25,12.75,23.3,1666.66
-2.25,12.75,23.43,1678.1
40.75,-0.25,12.48,544.23
40.75,0.25,12.14,527.17
-26.25,-65.25,20.22,746.14
26.25,65.25,24.38,158.3
-31.25,124.25,17.73,234.33
57.25,-158.25,2.84,1966.45
17.75,-4.75,28.67,95.21
17.75,4.75,29.32,204.92
57.25,158.25,-2.97,490.56
-18.75,127.25,27.15,512.03
-81.75,-113.75,-27.23,61.42
33.25,-98.25,18.3,788.39
33.25,98.25,1.21,504.47
-81.75,113.75,-51.95,31.26
-71.75,130.75,-44.55,584.9
40.25,36.75,11.46,440.76
-87.25,-69.25,-44.88,19.04
-87.25,69.25,-50.78,11.54
-20.75,143.75,24.69,485.18
18.75,35.25,28.56,95.43
-18.75,35.25,25.34,1021.61
23.75,23.25,23.19,4.32
-23.75,23.25,22.62,345.35
60.25,-105.75,-5.68,339.51
60.25,105.75,-5.98,342.7
-21.75,-60.75,24.91,696.17
30.75,-3.75,21.59,66.15
30.75,3.75,22.55,44.49
27.25,117.75,15.13,1832.4
-27.25,117.75,21.91,245.3
3.25,-75.75,20.09,1988.91
-3.25,-75.75,26.19,2438.95
48.25,-118.25,6.42,487.1
48.25,118.25,0.29,270.18
31.75,24.25,19.08,99.97
-31.75,24.25,12.69,341.63
-88.25,-122.75,-48.3,13.56
71.25,81.75,-11.1,380.03
-71.25,81.75,-28.23,211.11
58.75,-123.25,0,512.21
26.25,46.75,25.9,102.69
58.75,123.25,-8.22,490.57
47.75,-100.25,4.71,439.51
47.75,100.25,-3.63,265.16
-74.75,142.25,-40.8,260.67
68.25,-50.25,-7.36,247.61
27.25,38.75,20.76,43.69
-68.25,50.25,-21.29,787.26
27.25,76.25,24.86,642.87
58.25,83.75,-1.02,513.35
-88.25,-26.25,-46.95,13.18
-88.25,26.25,-48.76,9.12
2.75,-69.75,26.06,3128.08
-2.75,-69.75,26.47,2907.63
46.75,-93.25,4.77,686.32
46.75,93.25,-0.42,110.63
-20.25,-67.75,8.78,157.03
3.75,-63.75,23.72,2200.88
81.75,-41.25,-24.82,138.06
-81.75,-41.25,-22.65,255.25
-81.75,41.25,-55.07,26.37
54.75,-109.25,0.35,432.25
54.75,109.25,-3.13,350.37
81.25,-26.25,-21.79,150.12
-81.25,-26.25,-26.33,297.67
-81.25,26.25,-52.56,34.05
27.25,46.25,24.89,240.04
5.75,-73.75,16.65,2080.01
-5.75,-73.75,26.33,2403.75
73.75,103.75,-14.56,243.85
-73.75,103.75,-48.4,122.66
-85.25,-29.25,-39.09,98.32
-85.25,29.25,-49.42,20.11
69.25,-158.25,-12.53,138.64
28.25,120.25,16.71,1555
-28.25,120.25,20.81,233.34
69.25,158.25,-12.84,172.69
-69.25,158.25,-15.88,655.73
42.75,-1.75,12.27,637.03
-88.25,122.75,-50.18,12.95
-20.25,147.75,22.92,766.02
3.25,27.25,23.88,1971.66
-3.25,27.25,24.93,2270.82
75.75,-100.25,-16.73,106.37
-75.75,-100.25,-20.15,547.49
-4.25,-69.25,26.4,2733.32
6.75,100.75,27.14,1819.75
49.75,31.75,8.25,528.61
-82.75,-141.25,-22.56,135.86
-22.25,-49.75,21.39,1264.93
22.25,49.75,26.92,59.62
-82.75,141.25,-38.53,124
64.25,-152.75,-3.62,282.04
64.25,152.75,-12.58,285.61
53.25,-124.25,1.23,492.77
26.25,29.75,22.17,6.29
-26.25,29.75,14.6,721.39
53.25,124.25,-4.34,265.15
-27.25,126.75,22.97,218.7
58.25,88.25,-1.51,330.35
-3.75,-63.75,26.68,1882.97
-74.25,-86.25,-24.95,331.04
69.75,22.75,-1.39,453.19
-74.25,86.25,-43.26,130.06
-71.25,163.75,-20.41,445.74
-27.25,122.25,20.43,252.9
10.25,48.25,23.7,181
45.25,18.25,11.26,771.71
60.75,-149.75,-2.05,945.53
46.25,39.75,10.19,567.17
60.75,149.75,-10.17,402.1
42.25,49.75,13.02,393.66
-72.25,150.75,-30.66,555.61
75.25,-88.25,-16.48,179.75
-75.25,-88.25,-23.93,275.96
25.75,-80.75,24.05,1438.29
25.75,80.75,25.97,836.21
-75.25,88.25,-48.25,77.3
32.25,-3.75,17.52,219.42
32.25,3.75,21.6,72.56
66.75,-155.75,-5.22,325.7
42.75,1.75,10.51,1025.17
21.75,70.75,26.63,663.57
14.75,18.25,29.19,179.94
-14.75,18.25,20.13,930.32
20.25,-6.25,29.41,62.72
20.25,6.25,27.39,53.15
-72.75,157.25,-30.1,453.89
-89.75,-107.25,-48.99,7.12
-89.75,107.25,-49.39,6.92
53.25,33.75,5.74,621.32
74.25,-45.75,-24.73,216.44
-74.25,45.75,-43.18,301.11
32.75,-96.75,18.99,945.3
32.75,96.75,2.16,505.41
-75.75,147.75,-31.68,225.48
14.25,18.75,29.4,379.46
-14.25,18.75,20.79,912.28
49.25,-75.75,0.45,933.33
49.25,75.75,1.95,284.94
-85.25,-18.25,-41.05,82.77
-85.25,18.25,-47.5,26.39
38.25,50.75,16.04,1196.36
81.25,-79.75,-19.12,98.18
-81.25,-79.75,-23.44,190.79
43.25,-75.75,7.94,1323.72
-87.75,-5.75,-47.3,14.95
-87.75,5.75,-47.97,12.6
43.25,75.75,6.26,413.53
-81.25,79.75,-56.1,22.6
-35.75,148.75,7.51,1014.58
1.25,117.75,27.33,1528.09
25.75,94.75,18.06,2091.09
66.75,-99.75,-14.14,135.42
66.75,99.75,-13.26,319.47
-66.75,99.75,-12.79,581.03
43.25,56.75,10.29,111.97
16.25,20.75,29.29,122.34
-16.25,20.75,21.33,783.91
-85.75,-101.25,-39.54,26.96
-85.75,101.25,-51.25,19.01
81.25,-45.75,-23.08,132.6
-81.25,45.75,-56.25,27.41
-12.25,-52.25,24.81,1704.91
66.75,155.75,-12.16,236.7
-75.75,-8.25,-32,423.69
-75.75,8.25,-31.87,349.13
78.75,-42.75,-33.37,124.2
-78.75,42.75,-56.49,44.24
62.75,64.25,-2.32,506.46
-85.75,-76.25,-35.48,32.62
-85.75,76.25,-52.18,15.11
48.25,-87.25,2.07,784.1
48.25,87.25,0.64,225.64
-36.75,141.75,14.61,460.06
-85.75,-167.25,-41.82,93.29
-85.75,167.25,-43.26,84.18
-86.25,-116.25,-40.41,25.34
-86.25,116.25,-50.4,24.5
69.75,138.75,-17.24,215.24
-69.75,138.75,-38.64,596.21
-23.25,-48.75,20.59,1240.41
23.25,48.75,27.19,76.84
66.75,57.75,-4.09,463.68
-11.25,-40.75,21.85,664.48
11.25,40.75,28.2,573.27
60.75,47.75,1.64,473.42
41.25,36.25,14.15,732.6
-37.75,175.25,13.51,1210.93
-76.75,-132.25,-29.43,402.66
-76.75,132.25,-47.58,59.03
55.25,-110.25,0.3,460.78
55.25,110.25,-11.85,310.99
57.75,-107.75,-3.12,453.02
31.75,79.25,3.92,744.96
57.75,107.75,-5,394.77
68.75,-163.75,-9.3,222.49
68.75,163.75,-12.98,142.78
-80.75,-121.25,-26.32,58.58
-80.75,121.25,-51.19,37.36
-28.25,153.25,17.62,1544.51
60.75,-156.75,-1.35,540.4
-73.25,137.25,-44.23,495.36
81.25,-48.75,-23.33,130.03
-81.25,48.75,-56.42,27
69.75,139.75,-18.57,212.76
-69.75,139.75,-37.88,597.16
31.75,-106.25,17.4,225.1
-4.75,-39.25,25.63,798.45
4.75,39.25,23.31,766.18
39.75,58.75,16.46,93.14
16.75,33.25,29.75,85.66
-16.75,33.25,26.09,633.86
81.25,-13.25,-15.11,160.09
-81.25,-13.25,-31.23,300.79
-81.25,13.25,-48.16,64.31
67.25,-94.75,-15.29,154.97
-85.25,-69.75,-34.49,48.5
63.75,-40.75,1.14,1149.05
63.75,40.75,0.89,556.5
-85.25,69.75,-52.94,14.75
67.25,94.75,-12.72,462.78
-67.25,94.75,-19.78,561.98
-89.25,-142.25,-49.03,9.9
-89.25,142.25,-49.76,9.69
-15.75,-52.25,25.65,1579.26
-85.75,-89.25,-37.62,27.25
-85.75,89.25,-51.76,15.83
21.25,79.25,27.08,1129.27
60.25,-159.25,-4.87,502.01
47.75,131.75,2.61,529.08
-89.75,-14.75,-48.97,6.64
-89.75,14.75,-49.1,6.42
64.75,-135.25,-8.49,389.72
42.75,-82.75,8.7,841.66
50.25,47.75,6.63,296.81
-81.25,-155.25,-21.81,328.43
61.75,83.75,-3.8,554.42
-81.25,155.25,-29.65,226.51
50.25,17.75,8.24,671
19.25,-98.25,16,938.14
19.25,98.25,24.58,1304.46
-71.75,16.75,-22.78,317.72
-88.25,-96.75,-47.17,13.23
-88.25,96.75,-50.34,10.62
52.75,-2.75,9.34,644.13
67.25,-105.75,-14.1,144.75
-86.25,-140.25,-40.44,46
54.75,50.75,3.82,514.98
-86.25,140.25,-48.41,40.46
38.25,-1.75,16.88,376.04
42.75,63.25,13.54,93.17
44.75,3.75,7.75,863.99
48.75,50.75,7.87,202.95
18.25,-4.75,28.69,55.04
18.25,4.75,29.37,181.87
37.75,-95.25,13.53,1005.63
37.75,95.25,1.73,90.3
-89.25,-131.25,-48.84,9.53
-89.25,131.25,-49.62,9.17
-82.25,-89.25,-29.07,124.79
-82.25,89.25,-54.3,21.16
-74.25,-0.25,-31.48,400.8
-74.25,0.25,-31.14,397.41
-38.25,147.25,14,608.92
30.75,-8.75,13.19,342.06
30.75,8.75,23.18,38.36
-70.75,163.75,-14.47,466.87
67.25,105.75,-13.15,269.48
-67.25,105.75,-20.45,466.82
64.75,-14.75,-0.21,1156.6
64.75,14.75,-0.74,769.64
62.25,57.75,-1.65,562.52
40.25,141.75,9.72,1111.72
65.25,-173.75,-3.57,571.34
65.25,173.75,-7.63,341.07
41.25,34.75,8.3,502.34
-87.75,-88.75,-45.81,14.33
-87.75,88.75,-50.63,11.45
10.25,19.75,27.56,872.6
-10.25,19.75,21.27,1359.64
62.75,-123.75,-7.39,349.56
62.75,123.75,-10.03,280.94
2.25,-57.25,26.67,2021.06
-2.25,-57.25,27.52,2232.81
-88.25,-79.25,-47.07,11.58
-88.25,79.25,-50.57,9.8
35.25,-108.75,8.56,322.71
67.25,15.75,0.87,1084.68
29.25,-82.75,21.51,1221.53
41.25,42.75,3.96,536.64
29.25,82.75,-0.09,1019.47
-88.75,-124.25,-48.75,11.31
-88.75,124.25,-49.84,10.77
51.75,-107.25,2.37,356.34
51.75,107.25,-0.8,280.47
-29.25,130.75,18.18,203.26
-81.25,-144.25,-21.22,194.27
-81.25,144.25,-34.71,162.03
-88.25,-160.25,-49.74,19.85
-88.25,160.25,-50.2,18.6
21.75,21.25,24.69,16.09
-21.75,21.25,22.18,415.16
63.75,92.25,-9.96,496.32
-12.25,136.75,26.32,1461.35
